Timeline(Seconds),Throughput
1,100
2,98
3,115
4,98
5,118
6,111
7,154
8,114
9,87
10,104
11,111
12,151
13,160
14,128
15,157
16,139
17,142
18,93
19,161
20,142
21,143
22,125
23,136
24,137
25,157
26,186
27,205
28,173
29,168
30,159
31,207
32,196
33,210
34,202
35,204
36,244
37,225
38,215
39,192
40,228
41,166
42,226
43,171
44,209
45,208
46,207
47,216
48,178
49,135
50,207
51,196
52,217
53,152
54,235
55,189
56,254
57,179
58,273
59,231
60,303
61,211
62,313
63,191
64,298
65,217
66,295
67,263
68,268
69,292
70,248
71,333
72,237
73,275
74,200
75,269
76,211
77,229
78,202
79,275
80,221
81,283
82,179
83,307
84,193
85,307
86,193
87,253
88,201
89,248
90,205
91,176
92,306
93,294
94,212
95,263
96,215
97,254
98,212
99,279
100,242
101,279
102,265
103,310
104,214
105,304
106,207
107,296
108,101
109,113
110,115
111,180
112,189
113,166
114,170
115,176
116,40
117,183
118,153
119,161
120,172
121,149
122,197
123,174
124,155
125,154
126,120
127,140
128,97
129,118
130,120
131,155
132,122
133,152
134,170
135,187
136,180
137,142
138,116
139,97
140,207
141,190
142,206
143,165
144,190
145,174
146,184
147,174
148,114
149,209
150,303
151,186
152,300
153,218
154,300
155,211
156,303
157,238
158,276
159,293
160,255
161,334
162,255
163,325
164,292
165,267
166,299
167,196
168,268
169,142
170,178
171,203
172,203
173,209
174,223
175,277
176,279
177,342
178,234
179,284
180,255
181,291
182,300
183,233
184,313
185,154
186,266
187,161
188,203
189,243
190,182
191,209
192,217
193,310
194,186
195,291
196,226
197,246
198,197
199,158
200,264
201,202
202,251
203,183
204,178
205,184
206,176
207,146
208,196
209,147
210,329
211,306
212,237
213,380
214,232
215,305
216,213
217,286
218,281
219,189
220,204
221,286
222,172
223,174
224,174
225,230
226,237
227,178
228,277
229,234
230,220
231,275
232,307
233,288
234,243
235,255
236,195
237,190
238,226
239,153
240,125
241,280
242,194
243,152
244,158
245,199
246,166
247,154
248,223
249,218
250,140
251,217
252,217
253,235
254,223
255,198
256,223
257,217
258,169
259,202
260,184
261,146
262,118
263,136
264,143
265,222
266,178
267,278
268,163
269,277
270,203
271,206
272,149
273,186
274,188
275,135
276,151
277,169
278,160
279,149
280,131
281,247
282,240
283,160
284,194
285,146
286,245
287,213
288,214
289,229
290,316
291,239
292,195
293,222
294,224
295,228
296,171
297,169
298,266
299,141
300,231
301,223
302,217
303,279
304,247
305,269
306,292
307,143
308,194
309,272
310,141
311,148
312,137
313,141
314,137
315,100
316,120
317,181
318,119
319,117
320,129
321,169
322,160
323,131
324,229
325,180
326,142
327,173
328,166
329,214
330,146
331,146
332,158
333,194
334,131
335,139
336,161
337,146
338,157
339,181
340,128
341,206
342,183
343,123
344,156
345,190
346,232
347,209
348,280
349,266
350,305
351,327
352,234
353,183
354,141
355,157
356,165
357,164
358,140
359,145
360,135
361,46
362,160
363,140
364,151
365,127
366,174
367,163
368,134
369,180
370,149
371,160
372,212
373,148
374,147
375,194
376,120
377,158
378,159
379,189
380,172
381,122
382,121
383,127
384,164
385,92
386,108
387,172
388,243
389,191
390,204
391,231
392,201
393,271
394,220
395,280
396,195
397,277
398,183
399,188
400,204
401,249
402,221
403,188
404,177
405,171
406,335
407,186
408,246
409,132
410,191
411,146
412,194
413,255
414,186
415,166
416,203
417,201
418,248
419,180
420,212
421,133
422,221
423,310
424,234
425,279
426,201
427,223
428,155
429,165
430,252
431,186
432,163
433,173
434,250
435,174
436,183
437,244
438,247
439,234
440,235
441,211
442,166
443,338
444,214
445,220
446,138
447,140
448,154
449,207
450,159
451,157
452,172
453,169
454,174
455,178
456,228
457,184
458,165
459,258
460,108
461,154
462,98
463,103
464,79
465,124
466,143
467,154
468,186
469,172
470,129
471,177
472,145
473,140
474,206
475,158
476,83
477,125
478,138
479,114
480,152
481,180
482,137
483,157
484,148
485,118
486,155
487,134
488,172
489,171
490,173
491,182
492,146
493,116
494,221
495,225
496,178
497,206
498,144
499,242
500,197
501,221
502,233
503,259
504,291
505,304
506,231
507,349
508,224
509,321
510,273
511,252
512,226
513,206
514,206
515,203
516,160
517,211
518,202
519,253
520,206
521,292
522,148
523,218
524,206
525,141
526,173
527,134
528,173
529,196
530,166
531,169
532,149
533,175
534,176
535,169
536,203
537,203
538,175
539,200
540,274
541,111
542,286
543,177
544,296
545,219
546,275
547,80
548,172
549,183
550,140
551,140
552,143
553,200
554,163
555,149
556,200
557,232
558,183
559,226
560,206
561,171
562,220
563,193
564,216
565,209
566,286
567,273
568,356
569,232
570,308
571,330
572,225
573,337
574,250
575,288
576,284
577,209
578,302
579,246
580,337
581,258
582,286
583,340
584,189
585,266
586,243
587,223
588,175
589,200
590,247
591,236
592,274
593,298
594,220
595,258
596,147
597,230
598,132
599,127
600,96
601,240
602,154
603,201
604,143
605,191
606,137
607,199
608,219
609,149
610,182
611,129
612,166
613,215
614,157
615,140
616,212
617,306
618,268
619,249
620,183
621,166
622,141
623,108
624,97
625,100
626,112
627,143
628,100
629,25
630,109
631,101
632,145
633,97
634,144
635,140
636,157
637,171
638,146
639,132
640,114
641,183
642,186
643,169
644,138
645,173
646,160
647,158
648,191
649,169
650,40
651,120
652,106
653,94
654,9
655,190
656,199
657,200
658,180
659,198
660,155
661,145
662,143
663,241
664,236
665,158
666,133
667,121
668,74
669,92
670,144
671,153
672,152
673,169
674,154
675,129
676,34
677,93
678,133
679,49
680,42
681,55
682,106
683,96
684,107
685,65
686,23
687,115
688,23
689,138
690,168
691,151
692,137
693,175
694,80
695,258
696,194
697,177
698,135
699,174
700,160
701,157
702,72
703,203
704,175
705,94
706,185
707,216
708,188
709,209
710,177
711,140
712,180
713,169
714,208
715,221
716,274
717,162
718,150
719,215
720,222
721,250
722,145
723,246
724,87
725,196
726,129
727,168
728,141
729,128
730,132
731,131
732,166
733,83
734,106
735,146
736,180
737,207
